sale_id,order_date,customer_id,product_id,region,quantity,unit_price,discount
SALE0000001,2025-02-16,CUST00382,PROD00139,Europe Central,2,818.96,0.1
SALE0000002,2025-08-25,CUST00266,PROD00133,Europe West,2,413.4,0.0
SALE0000003,2024-03-09,CUST00203,PROD00100,North America,8,1520.27,0.2
SALE0000004,2024-05-13,CUST00095,PROD00088,Europe Central,6,1554.01,0.0
SALE0000005,2024-02-15,CUST00965,PROD00058,Europe West,8,1716.4,0.0
SALE0000006,2024-06-23,CUST00947,PROD00105,North America,10,483.95,0.05
SALE0000007,2025-02-10,CUST00509,PROD00019,North America,1,625.49,0.05
SALE0000008,2025-12-02,CUST00437,PROD00133,North America,3,413.4,0.0
SALE0000009,2024-08-09,CUST00931,PROD00073,Europe Central,3,101.4,0.0
SALE0000010,2024-10-15,CUST00457,PROD00044,Europe South,3,342.09,0.0
SALE0000011,2025-09-22,CUST00635,PROD00091,Europe South,10,1593.99,0.0
SALE0000012,2025-10-26,CUST00303,PROD00027,Europe West,8,1050.78,0.05
SALE0000013,2025-07-19,CUST00491,PROD00135,North America,1,1173.57,0.0
SALE0000014,2024-10-15,CUST00393,PROD00056,Asia Pacific,3,1841.25,0.05
SALE0000015,2024-07-25,CUST00659,PROD00150,Europe South,9,437.89,0.0
SALE0000016,2025-10-09,CUST00822,PROD00163,Europe South,9,929.47,0.2
SALE0000017,2024-01-22,CUST00392,PROD00131,North America,6,551.19,0.05
SALE0000018,2025-07-13,CUST00801,PROD00093,North America,8,1865.47,0.0
SALE0000019,2025-08-04,CUST00515,PROD00005,Europe Central,6,319.2,0.05
SALE0000020,2024-10-05,CUST00185,PROD00043,Europe South,1,1720.13,0.0
SALE0000021,2025-09-05,CUST00225,PROD00117,Europe South,1,1165.73,0.2
SALE0000022,2024-10-16,CUST00060,PROD00087,Europe Central,8,1995.6,0.1
SALE0000023,2025-01-03,CUST00786,PROD00095,North America,10,1087.67,0.0
SALE0000024,2024-06-14,CUST00103,PROD00002,Europe West,4,167.25,0.15
SALE0000025,2024-09-05,CUST00273,PROD00136,Europe West,9,319.27,0.2
SALE0000026,2024-02-29,CUST00783,PROD00160,Europe South,4,909.88,0.1
SALE0000027,2025-02-03,CUST00364,PROD00059,Europe Central,3,1110.2,0.0
SALE0000028,2024-09-01,CUST00607,PROD00041,Asia Pacific,6,915.84,0.2
SALE0000029,2025-12-17,CUST00368,PROD00081,Asia Pacific,10,744.15,0.0
